BEGINS_RELV_VB_AJ_NOUN,ENDS_NF,FOOD_UNIT_OR_SENTENCE_CLUE,ALL_IN_NP_WITH_CLUE,IS_DISH
0,1,1,0,1
1,0,1,0,1
1,0,1,0,1
1,1,1,0,1
0,0,1,0,1
0,1,1,0,1
0,1,1,0,1
1,1,1,0,1
1,0,1,0,1
1,0,1,0,1
1,0,1,0,1
1,0,1,0,1
1,0,1,0,1
1,0,1,0,1
1,0,1,0,1
1,0,1,0,1
0,0,1,0,1
0,0,1,0,1
0,0,1,0,1
0,0,1,0,1
0,0,1,0,1
0,0,1,0,1
0,0,1,0,1
0,0,1,0,1
0,0,1,0,1
0,0,1,0,1
1,1,1,0,1
1,1,1,0,1
1,0,1,0,1
1,0,1,0,1
1,1,1,0,1
1,0,1,0,1
1,0,1,0,1
1,1,1,0,1
1,0,1,0,1
1,0,1,0,1
1,1,1,0,1
0,0,1,0,1
0,1,1,0,1
0,1,1,0,1
0,1,1,0,1
1,0,1,0,1
1,0,1,0,1
1,0,1,0,1
1,1,1,0,1
0,0,1,0,1
0,0,1,0,1
0,1,1,0,1
0,0,1,0,1
0,1,1,0,1
0,1,1,0,1
0,0,1,0,1
0,0,1,0,1
0,0,1,0,1
0,1,0,0,1
1,1,1,1,1
1,0,1,0,1
1,0,1,0,1
1,0,1,0,1
0,0,1,0,1
0,0,1,0,1
0,0,1,0,1
1,0,1,0,1
1,0,1,0,1
1,0,1,0,1
1,0,1,0,1
0,0,1,0,1
0,0,1,0,1
0,0,1,0,1
0,0,1,0,1
0,0,1,0,1
0,0,1,0,1
1,0,1,0,1
1,1,1,1,1
1,0,1,0,1
1,0,1,0,1
1,0,1,0,1
1,0,1,0,1
1,1,1,0,1
0,0,1,0,1
0,1,1,0,1
0,1,1,1,1
0,0,1,0,1
1,0,1,0,1
0,1,1,0,1
1,0,1,0,1
1,0,1,0,1
1,0,1,0,1
1,0,1,0,1
1,0,1,0,1
0,0,1,0,1
0,0,1,0,1
0,0,1,0,1
0,0,1,0,1
0,0,1,0,1
0,0,1,0,1
0,0,1,0,1
0,0,1,0,1
0,1,1,0,1
0,1,1,0,1
0,1,1,0,1
1,0,1,0,1
1,0,1,0,1
1,0,1,0,1
1,0,1,0,1
0,0,1,0,1
0,0,1,0,1
0,0,1,0,1
0,0,1,0,1
0,0,1,0,1
0,0,1,0,1
0,0,1,0,1
0,0,1,0,1
0,0,1,0,1
1,0,1,0,1
0,0,0,0,1
0,1,0,0,1
0,1,0,0,1
1,0,1,0,1
0,0,1,0,1
0,1,1,0,1
0,1,1,0,1
0,1,1,0,1
0,1,1,0,1
1,1,1,0,1
0,1,1,0,1
0,0,1,0,1
0,0,1,0,1
0,1,1,0,1
0,0,1,0,1
0,1,1,0,1
0,1,1,0,1
1,0,1,0,1
1,0,1,0,1
1,1,1,0,1
1,0,1,0,1
1,0,1,0,1
0,1,1,0,1
0,0,1,0,1
0,0,1,0,1
1,0,1,0,1
1,0,1,0,1
0,0,1,0,1
0,0,1,1,1
0,1,1,1,1
0,1,1,1,1
0,0,1,0,1
0,0,1,0,1
0,0,1,0,1
0,0,1,0,1
0,0,1,0,1
0,0,1,0,1
0,0,1,0,1
0,0,1,0,1
0,0,1,0,1
0,0,1,0,1
0,0,1,0,1
0,1,0,0,1
0,1,0,0,1
1,1,1,1,1
0,1,1,1,1
0,1,1,0,1
0,0,1,0,1
1,0,1,0,1
0,0,1,0,1
0,1,0,0,1
0,0,0,0,1
0,0,0,0,1
0,0,0,0,1
1,0,0,0,1
1,0,0,0,1
1,0,0,0,1
0,0,0,0,1
0,0,0,0,1
0,0,0,0,1
1,1,1,1,1
1,1,1,1,1
0,1,1,1,1
0,0,1,0,1
0,1,0,0,1
0,1,0,0,1
1,1,0,0,1
0,0,0,0,1
0,1,0,0,1
0,1,0,0,1
0,0,1,0,1
0,0,1,0,1
0,0,1,0,1
1,1,1,1,1
1,0,1,0,1
1,0,1,0,1
1,0,1,0,1
1,0,1,0,1
1,1,1,0,1
0,0,1,0,1
0,1,1,0,1
0,1,1,0,1
0,0,1,0,1
0,0,1,0,1
0,0,1,0,1
1,0,1,0,1
1,1,1,1,1
1,1,1,0,1
0,0,1,0,1
0,0,1,0,1
0,0,1,0,1
0,0,0,0,1
0,0,0,0,1
0,0,0,0,1
0,0,1,0,1
0,0,1,0,1
0,0,1,0,1
0,0,0,0,1
0,0,0,0,1
0,0,1,0,1
